track_id,danceability,popularity,energy,acousticness,valence,instrumentalness,tempo,loudness
0qgYfRBF5mSCPOdHdgus66,0.397,,0.283,0.855,0.231,0.0014,136.477,-10.665
6mXG9gssLzhnVWtq6UNu5J,0.688,,0.546,0.63,0.555,5.93e-06,117.852,-8.421
1S8YOLgJKX5w4i4UhdbKzk,0.653,,0.321,0.251,0.295,0.0,111.015,-8.656
1fQfd7oyrrcjsCA3qUnhKX,0.742,,0.807,0.354,0.961,0.000399,117.659,-5.372
6p3iGqLGUxFES79KULUzFm,0.404,,0.347,0.722,0.218,0.00328,136.045,-9.663
0dOg1ySSI7NkpAe89Zo0b9,0.398,,0.952,0.000373,0.584,7.75e-05,122.093,-6.042
4U7NhC2rQTAhH7dw7H0goB,0.535,,0.884,0.00188,0.796,0.00126,120.555,-5.499
3O5RCjnjWlF0CYkcvJaGVm,0.536,,0.982,0.0141,0.963,3.67e-05,119.201,-4.674
1n16ZEz2uuWO1Dx01dVWua,0.429,,0.949,0.0842,0.967,0.0,184.286,-5.295
4a0oZYU2ntSUof4lkm2PCl,0.544,,0.762,0.0585,0.473,0.0,120.023,-7.289
3PzsbWSQdLCKDLxn7YZfkM,0.62,,0.446,0.589,0.868,0.0299,88.591,-14.451
2zMlWt4aYreVczVERFK94w,0.351,,0.947,0.00382,0.859,1.81e-06,153.762,-4.965
2KPzDsCtQtIM0Lkh3RacRC,0.521,,0.949,0.000265,0.956,2.62e-05,133.393,-5.279
0VkDedVtP7TQDlaCMq9QVx,0.579,,0.948,0.117,0.811,1.19e-06,132.812,-5.908
2Y90nL1ohB4sgYELDs7uNx,0.574,,0.96,0.0457,0.978,0.0,117.486,-4.906
7FwBtcecmlpc1sLySPXeGE,0.527,,0.942,0.0115,0.495,0.0,148.723,-5.64
6dahFmHrgncgVJjsI1ws7e,0.652,,0.338,0.486,0.392,5.9e-05,116.881,-11.58
24YmWQgunJGAU8El3ndkyn,0.316,,0.49,0.416,0.267,0.367,152.1,-14.578
62zuXt6X5B6YQOBNFV2eXG,0.406,,0.128,0.359,0.191,0.0019,110.272,-16.983
7K6xMPtAjTuLPNlJMLf5bS,0.613,,0.0457,0.937,0.093,0.642,99.524,-26.398
2O3l4X1yTua8oMMCtazkyo,0.74,,0.231,0.551,0.546,0.747,103.994,-18.91
4gMgiXfqyzZLMhsksGmbQV,0.693,,0.394,0.0782,0.721,0.000694,104.114,-15.882
1GEOSS415bZVHNuXWlCT6b,0.578,,0.15,0.243,0.12,0.00707,135.22,-17.335
0ESdtt9cjGZUkUbaubSrv2,0.638,,0.0811,0.879,0.0503,0.00313,109.154,-22.646
5yMyLZu4wPvWcbLFiRhYVM,0.501,,0.338,0.187,0.106,0.868,95.942,-19.12
3xGJuHvSxFJxxYlHj5BIoT,0.615,,0.55,0.0546,0.549,0.19,95.488,-13.858
66YHxyGAUGjMBDdrDlWIMD,0.315,,0.218,0.305,0.156,0.0012,175.868,-15.215
3QEWEv1tvHmVgsT5THpGDn,0.324,,0.11,0.0847,0.0393,0.777,123.534,-19.78
5A7eooPKJHtr0UJmatjH4a,0.653,,0.472,0.0554,0.448,7.69e-05,102.558,-14.797
0ZXkKRO789QKBR6ME7pIDF,0.472,,0.0118,0.783,0.0698,0.799,102.949,-31.734
7F02x6EKYIQV3VcTaTm7oN,0.587,,0.302,0.223,0.19,0.00216,112.46,-14.976
5HAjss9faCAowGY8dM24r6,0.307,,0.0742,0.72,0.0394,0.315,118.682,-27.159
2gTnu5RZNVFVnWdjLnyUA5,0.251,,0.148,0.713,0.0569,0.432,206.542,-21.056
7FCiDC7ojdm19CJePq6QAe,0.179,,0.162,0.678,0.0869,0.022,34.821,-22.191
4TUStFzBGQqn0GrkzVWFV4,0.33,,0.283,0.575,0.287,0.0947,157.963,-15.971
5HNCy40Ni5BZJFw1TKzRsC,0.472,,0.366,0.15,0.171,0.312,127.163,-12.595
077OhUjy58qkjscrXjW696,0.571,,0.198,0.435,0.326,0.125,129.024,-16.919
2fDHuS1PTkHBbCWWZF1ph9,0.621,,0.524,0.0652,0.889,0.00199,110.586,-15.269
0rE8nugfCMtsC3mzNukV8Z,0.499,,0.281,0.859,0.375,3.85e-05,111.769,-17.128
2dLzyrwHEEK8umYoOYaSPc,0.58,,0.296,0.555,0.582,0.000472,96.155,-15.875
7xrODhgXFNVsRtKoyt5rJo,0.679,,0.519,0.545,0.839,0.0,121.41,-13.562
2EaCm5PYjpwuIvRo3ZfEFe,0.596,,0.474,0.673,0.73,0.0,119.555,-15.004
1qrtIWJwS62EVVv976tYXh,0.647,,0.663,0.0663,0.93,0.0237,129.799,-13.974
1MD5D5cFRKBAwbooPvifjN,0.38,,0.211,0.928,0.433,0.000483,171.614,-21.066
40kj6F2dst12FXtRW7mqOc,0.553,,0.0855,0.938,0.428,0.0,44.155,-16.887
28q8XYvQtuRtTnkZoKBTB1,0.552,,0.207,0.917,0.638,0.0,77.474,-16.783
2DATiJtJ75vDhCL59LWhlI,0.511,,0.245,0.883,0.65,0.0,128.902,-17.549
59n3HqfAMEpFFEAuBQQCOC,0.524,,0.238,0.877,0.678,0.0,123.56,-16.382
41HOgdemYjFSPffuBMdwzG,0.646,,0.613,0.547,0.808,0.00235,125.218,-13.413
7D5WsIISgiaBTfgubAuU4Z,0.631,,0.175,0.718,0.408,2.81e-05,83.332,-19.401
0ry355UoTbc3NScBC2F3jA,0.525,,0.459,0.386,0.621,0.0,125.552,-15.717
49NfiXJHlZoexjMjqWIPQQ,0.497,,0.261,0.806,0.556,7.35e-05,109.796,-18.28
529UhNRfvKmId4ZL7cvRDm,0.324,,0.586,0.532,0.497,0.00346,78.827,-16.227
7zpS4UzyAsNGxWz0AyRP3b,0.354,,0.366,0.666,0.585,0.0,111.057,-10.799
4PVhVyr6yFooyyfaHSA3B7,0.381,,0.483,0.087,0.422,4.92e-06,90.522,-9.183
7odHgoLFi3GQ90E9PeraI3,0.401,,0.498,0.394,0.816,0.0,181.701,-10.682
6cXz1ntQbcwrCBu6my2kZy,0.357,,0.296,0.566,0.311,0.0,82.2,-13.167
7IGpCCRB7MO3z4xUgKAjOn,0.548,,0.466,0.454,0.646,0.0,127.496,-8.894
5bsVqbCNaiHlGZRAlP0aK5,0.371,,0.421,0.591,0.363,1.18e-06,79.7,-12.079
46o9VJzXa8u3JeEzV0TfV1,0.389,,0.421,0.423,0.407,0.0,89.063,-10.013
6MUHAvKGAmKXojn8wdFB71,0.281,,0.276,0.51,0.238,0.0,154.097,-11.752
5cRLeWnjKA8kfQ01WsOH06,0.49,,0.241,0.713,0.511,0.0,110.959,-14.616
6CAkmqFlO5S3o0QDUuzcYr,0.36,,0.439,0.415,0.458,0.0,138.351,-10.607
4R1X22ge1UQkaGXV7TZOKx,0.359,,0.498,0.37,0.325,1.18e-06,85.569,-8.571
6ubBcVcBs1yEyERek9BWW3,0.446,,0.448,0.485,0.584,0.0,135.14,-7.335
4AE3dRLSuWT4t1cWy5RkHc,0.572,,0.691,0.567,0.751,0.0,86.124,-7.619
1FJgHdWjvo5zeBdFhBPzh0,0.547,,0.569,0.7,0.705,0.0,108.081,-7.557
33aoEXdg3hwMx381Zaz6dn,0.616,,0.494,0.754,0.852,0.00198,117.088,-7.751
1O7an6GdUrgkD9bbXOFrAe,0.635,,0.52,0.631,0.859,0.00608,85.779,-9.246
2wdtxSMYwP8UB7fU2RgJmh,0.461,,0.372,0.597,0.61,0.000594,81.271,-12.761
5PaKE0ZfmVjqX7INuOi0l6,0.378,,0.561,0.586,0.359,0.000757,140.296,-8.835
28KkAfuknglTTJ7hOPqdRd,0.491,,0.298,0.68,0.616,0.0,105.149,-15.74
3lstV5iyVHuOJ8c8RsbRcs,0.641,,0.699,0.357,0.909,0.0253,83.035,-8.334
0n2pjCIMKwHSXoYfEbYMfX,0.519,,0.46,0.823,0.675,5.97e-05,132.082,-14.53
0x3jYUWbnbygky6JSnoSpX,0.5,,0.446,0.209,0.64,9.28e-06,92.513,-13.55
647D8WS57rPpIM1AXXHpHJ,0.264,,0.164,0.921,0.0699,0.00124,122.018,-17.034
1nsoufODs1GSaPI9oV9X6T,0.652,,0.604,0.387,0.789,0.0,103.955,-13.728
57OXk0inzVWWphdygquXIy,0.478,,0.367,0.801,0.389,0.000784,113.021,-15.837
4N0TP4Rmj6QQezWV88ARNJ,0.611,,0.578,0.0598,0.884,0.0219,100.625,-14.171
5EQlqS41fwTJE40wtF1NGk,0.59,,0.327,0.527,0.677,1.16e-06,104.177,-14.561
65qWooYTj0dq5HzoV6P9Kt,0.428,,0.374,0.343,0.132,0.000601,72.049,-14.845
5clXTCt9oU6WTo83zfTFzI,0.588,,0.271,0.724,0.351,4.3e-06,111.488,-15.762
4P3R9J5VGPyAPx9T6ZXAcF,0.441,,0.441,0.374,0.182,1.35e-05,123.736,-13.361
5NERbS7923kF471NLKDZkB,0.403,,0.764,0.0221,0.196,0.17,138.725,-8.554
1L9fzw2pXprOqtemTwtxXF,0.602,,0.536,0.183,0.506,1.9e-05,124.558,-9.74
5Wj1rJnCLpMHdLaxsFtJLs,0.665,,0.673,0.259,0.779,7.62e-06,132.642,-7.95
4IRHwIZHzlHT1FQpRa5RdE,0.559,,0.473,0.446,0.397,0.00141,121.227,-7.712
4oXPKd1nCTONb2O9NEWjUn,0.422,,0.442,0.839,0.179,0.0,107.341,-8.228
