track_id,danceability,energy,acousticness,valence,tempo,loudness
2J8Mbdpem8CiSZKRoZOIeG,0.458,0.714,0.69,0.49,143.818,-11.065
1mL6q0gbifm2dBTvMBx4px,0.329,0.499,0.0455,0.132,93.508,-13.7
5by3w3NXvwDpV9FBSOR35u,0.201,0.777,0.304,0.235,145.733,-10.167
7qOVMMY0couqt76ObwY947,0.486,0.587,0.0448,0.856,124.422,-8.336
4PINSJIlBWsnVeveicq1S8,0.609,0.295,0.176,0.279,108.976,-14.933
2g4LWy7YxrbWYA2RJP8nFk,0.36,0.475,0.646,0.36,121.355,-9.891
1NbgM9deOElsjyWeAmP1qg,0.311,0.84,0.000674,0.545,79.038,-11.068
2EqlS6tkEnglzr7tkKAAYD,0.533,0.376,0.0302,0.187,165.007,-11.913
0pNeVovbiZHkulpGeOx1Gj,0.396,0.338,0.198,0.377,133.522,-10.872
2S8xyNRJX1XQdo3qnTuovI,0.764,0.426,0.629,0.726,131.12,-11.045
2mxByJWOajjiVsLWjNXvDJ,0.422,0.656,0.0126,0.549,173.93,-8.412
0suLngfo7rJoetk7Ub6N8l,0.626,0.512,0.155,0.73,92.225,-9.15
3Z25k4ZF6QENy2d9YatsM5,0.37,0.515,0.0233,0.42,115.732,-9.487
6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,0.0339,0.394,129.171,-10.484
1rxoyGj1QuPoVi8fOft1Kt,0.328,0.249,0.754,0.162,81.257,-11.777
1jOLTO379yIu9aMnCkpMQl,0.335,0.416,0.345,0.223,174.464,-11.051
4nwKdZID1ht0lDBJ5h2p87,0.483,0.177,0.284,0.192,74.994,-17.629
4JOyMhad5dD81uGYLGgKrS,0.676,0.596,0.0699,0.97,100.687,-9.107
1FTCA6wQwulQFokDddKE68,0.474,0.939,0.00472,0.499,166.829,-8.884
2jtUGFsqanQ82zqDlhiKIp,0.53,0.72,0.00376,0.69,80.652,-8.793
01SfTM5nfCou5gQL70r6gs,0.419,0.152,0.326,0.239,80.608,-12.126
5eZrW59C3UgBhkqNlowEID,0.543,0.458,0.226,0.704,84.319,-8.976
5aHHf6jrqDRb1fcBmue2kn,0.647,0.487,0.00101,0.222,123.444,-10.119
6UCFZ9ZOFRxK8oak7MdPZu,0.703,0.215,0.728,0.522,100.874,-23.03
6Vcwr9tb3ZLO63F8DL8cqu,0.421,0.661,0.414,0.554,100.965,-13.126
3wAX3qn53iQUFE84hpfeen,0.409,0.264,0.665,0.355,137.16,-16.273
1U0OueoBA6vNNhrqCvdNOX,0.431,0.371,0.354,0.517,95.824,-17.166
2e4RcQohKWo8oZIUfjxiGo,0.209,0.979,0.143,0.219,147.9,-4.791
21MwEJ8tHezcPy77BaELJ6,0.157,0.989,0.0324,0.196,157.609,-5.065
4GtIKUB1Q5O65ofahYPRfX,0.286,0.961,0.0315,0.592,164.291,-5.743
2Hs7YqZwFEPIxRTnqtrHvP,0.343,0.962,0.00632,0.312,149.067,-4.984
4AqfCW0jMeByTMZdoqHlH4,0.231,0.968,0.00467,0.195,154.447,-5.322
6ui6l3ZNvlrGQZArwo8195,0.274,0.908,0.00103,0.483,148.246,-5.419
0PgpDLsbk8wnYpgMCynGLz,0.347,0.922,0.0667,0.532,144.004,-6.523
